,0,v1
82,wish hold tightli make see import much mean much need life,ham
83,lol would mom would fit tell whole famili crazi terribl,ham
85,iåõm cool ta luv v tire 2 caus doin load plan wk got social servic inspect nurseri take care spk sn x,ham
86,sorri light turn green meant anoth friend want lt gt worth may around,ham
87,que pase un buen tiempo someth like,ham
89,mm ask come enough,ham
91,yar lor keep rain non stop u wan 2 go elsewher,ham
92,otherwis part time job na tuition,ham
94,oooh bed ridden ey think,ham
96,gsoh good spam ladi u could b male gigolo 2 join uk fastest grow men club repli oncal mjzgroup 08714342399 2stop repli stop msg å 1 50rcvd,ham
97,gram usual run like lt gt half eighth smarter though get almost whole second gram lt gt,ham
98,im good think,ham
99,one day crab run sea shore wave came n clear footprint crab crab ask frnd r u clear beauti footprint wave repli fox follow ur footprint catch that clear frndsship never let u dwn gud nyt,ham
101,free msg get gnarl barkley crazi rington total free repli go messag right,ham
103,get offici england poli rington colour flag yer mobil tonight game text tone flag 84199 optout txt eng stop box39822 w111wx å 1 50,ham
104,gud mrng dear hav nice day,ham
105,also thk fast xy suggest one u dun wan ok go 2 rain leh got gd,ham
108,free 1st week no1 nokia tone 4 ur mobil everi week txt nokia 8077 get txting tell ur mate www getz co uk pobox 36504 w45wq 16 norm150p tone,ham
110,cours guess god got hold right,ham
111,oh get even u u,ham
112,who class,ham
113,loosu go hospit de dont let careless,spam
114,k roommat also want dubsack anoth friend may also want plan bring extra tell know sure,ham
115,oh haha den shld went today gee nvm la kaiez dun mind goin jazz oso scare hiphop open cant catch,ham
116,happi babe woo hoo parti dude,spam
117,allo brave buse taken train triumph mean û b û ham jolli good rest week,ham
118,tell need investig anywher,ham
119,urgent pleas call 0906346330 abta complimentari 4 spanish holiday å 10 000 cash await collect sae cs box 47 po19 2ez 150ppm 18,spam
120,call ok said call,spam
122,miss call miss call khelat kintu opponent miss call dhort lage that rule one great phone receiv qualiti win,spam
123,wife knew time murder exactli,ham
124,u lunch alon bore,ham
125,true lov n care wil nevr go unrecogn though somon often make mistak valu definitli undrstnd start miss,ham
126,thought king hill thing,ham
127,thk ì_ gotta go home urself co b go shop 4 fren present,ham
128,studi free next weekend,ham
129,love ya tri budget money better babe gari would freak knew,ham
130,ok,ham
131,geniu brother pl send number skype,ham
133,wish famili merri x ma happi new year advanc,spam
134,fujitsu seri lifebook good,spam
136,haha yeah 2 oz kind shitload,ham
137,make girl happi difficult make girl happi u need 1 friend 2 companion 3 lover 4 chef lt gt good listen lt gt organ lt gt good boyfriend lt gt clean lt gt sympathet lt gt athlet lt gt warm lt gt courag lt gt determin lt gt true lt gt depend lt gt intellig lt gt psychologist lt gt pest extermin lt gt psychiatrist lt gt healer lt gt stylist lt gt driver aaniy pudunga venaam,ham
138,arun u transfr amt,spam
139,prabha soryda reali frm heart sori,ham
140,part check iq,ham
141,noth spl wat abt u whr ru,ham
142,yeah quit bit left swing tomorrow get,ham
143,look like found someth smoke great job,ham
145,askd u question hour answer,ham
146,today voda number end 7548 select receiv 350 award match pleas call 08712300220 quot claim code 4041 standard rate app,spam
147,dont pick call someth import tell hrishi,ham
148,text banneduk 89555 see cost 150p textoper g696ga 18 xxx,ham
150,hello peach cake tast lush,ham
152,anyway go gym whatev love smile hope ok good day babe miss much alreadi,ham
153,probabl still go stuff,ham
154,got call landlin number ask come anna nagar go afternoon,ham
155,dude ive see lotta corvett late,ham
156,world suffer lot violenc bad peopl silenc good peopl,ham
158,come back tampa ffffuuuuuuu,spam
159,want pleas insid outsid bedroom,spam
160,hey pple 700 900 5 night excel locat wif breakfast hamper,ham
161,oh send address,ham
162,sorri cant take call right happen r 2waxsto wat want come ill get medic insur abl deliv basic care current shop right medic insur give til friday morn that see major person guid right insur,ham
163,u wake alreadi wat u u pick us later rite take sq825 reach ard 7 smth 8 like dat u check e arriv time c ya soon,spam
164,farm open,spam
165,speak cash yet,ham
166,make life stressful alway find time laugh may add year life sure add life ur year gud ni8 swt dream,spam
169,ultim tor motiv tui achiev korli,ham
170,pleas come imin town dontmatt urgoin outl8r,ham
171,moment day valu morn bring hope afternoon bring faith even bring luv night bring rest wish u find today good morn,ham
172,decemb mobil 11mth entitl updat latest colour camera mobil free call mobil updat co free 08002986906,ham
173,email yifeng part oredi ì_ get fr,ham
174,object bf come,ham
175,come home want u miser,ham
176,congrat 2 mobil 3g videophon r call 09061744553 videochat wid ur mate play java game dload polyh music nolin rentl bx420 ip4 5we 150pm,ham
178,prize go anoth custom c www c biz 18 150p min polo ltd suit 373 london w1j 6hl pleas call back busi,ham
180,yeah got list u joanna feel realli anti social,ham
182,k head min see,ham
185,hey sexi bun day word morn ym think,ham
186,cant pick phone right pl send messag,ham
187,hear new divorc barbi come ken stuff,spam
188,thank look realli appreci,ham
189,go join tomorrow,ham
190,good luck draw take place 28th feb 06 good luck remov send stop 87239 custom servic 08708034412,spam
191,say hi get ass back south tampa prefer kegger,ham
192,wine flow never,ham
193,cant think anyon spare room top head,ham
194,hot live fantasi call 08707509020 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 nation rate call,ham
195,happen yo date,ham
196,u secret admir reveal think u r special call 09065174042 opt repli reveal stop 1 50 per msg recd cust care 07821230901,ham
197,happen tell truth,ham
198,noth got msg frm tht unknown,ham
200,sm ac jsco energi high u may know 2channel 2day ur leadership skill r strong psychic repli an w question end repli end jsco,ham
201,say somebodi name tampa,ham
202,yo there class tmrw right,ham
204,ye fine love safe,ham
205,keep payasam rinu bring,ham
206,need person give na,ham
207,aiyah u ok alreadi lar e nydc wheellock,ham
209,campu librari,ham
211,surli ill give come review,ham
212,lord ring return king store repli lotr 2 june 4 chanc 2 win lotr soundtrack cd stdtxtrate repli stop end txt,ham
213,pl send comprehens mail pay much,ham
214,current lead bid 151 paus auction send custom care 08718726270,ham
215,wake 4 afternoon sup,ham
216,let know got money carlo make call,ham
217,contact date servic someon know find call mobil landlin 09064017305 pobox75ldns7,ham
218,k give kvb acc detail,ham
220,call messag miss call,ham
222,dear subscrib ur draw 4 å 100 gift voucher b enter receipt correct an elvi presley birthday txt answer 80062,ham
223,took tablet reaction morn,ham
224,sister got place birla soft da,spam
225,keep see weird shit bein woah realis actual reason oh,ham
226,pl pl send mail know rel come deliv know cost risk benefit anyth els thank,spam
229,earli bird purchas yet,ham
231,oki,ham
232,hiya good day spoken sinc weekend,ham
234,oh yeah hav great time newquay send postcard 1 look girl im gone u know 1im talkin bout xx,spam
235,tri someth dear read someth exam,ham
236,k make sens btw carlo difficult guy gonna smoke go pick second batch get ga,ham
237,hello wat talk email address,ham
238,reach home 5 min,ham
241,sorri im stil fuck last nite went tobe 430 got 4 work 630,ham
242,well avail washob nob last night ask nickey platt instead,ham
243,ello babe u ok,ham
244,life spend someon lifetim may meaningless moment spent someon realli love mean life,ham
246,home doc gave pain med say everyth fine,ham
247,u sleep go take haha got spi wat onlin check n repli mail lor,ham
249,yeah give call got minut,spam
250,lover need,ham
253,pleas text anymor noth els say,ham
255,goodmorn today late lt decim gt min,ham
256,hi hope good day better night,ham
257,think one say clearli ok leav need ask go come,ham
258,hmm well night night,spam
260,justbeen overa week sinc broke alreadi brain go mush,ham
261,dont thnk wrong call us,ham
262,û_ anyway mani good even u,ham
264,update_now xma offer latest motorola sonyericsson nokia free bluetooth doubl min 1000 txt orang call mobileupd8 08000839402 call2optout f4q,ham
265,call later afternoon onword mtnl servic get problem south mumbai hear cann listen,ham
266,bruce amp fowler mom car park long stori,ham
267,still play gautham,spam
268,messag food,ham
269,time want come,spam
270,k give back thank,ham
271,england v macedonia dont miss goal team news txt ur nation team 87077 eg england 87077 tri wale scotland 4txt ì¼1 20 poboxox36504w45wq 16,ham
273,good even ttyl,ham
274,take exam march 3,ham
275,aiyah ok wat long got improv alreadi wat,ham
276,one good partnership go take lead,ham
277,u get messag,ham
278,u call,ham
280,never tri alon take weight tear come ur heart fall ur eye alway rememb stupid friend share bslvyl,ham
281,raji pl favour pl convey birthday wish nimya pl today birthday,ham
282,time û prob 3,ham
283,hi kate love see tonight ill phone tomorrow got sing guy gave card xxx,ham
284,usual iam fine happi amp well,ham
285,nope watch tv home go v bore,ham
288,u awak snow,ham
289,good wonder wont say hi smile cope long distanc,ham
294,wnt buy bmw car urgent vri urgent hv shortag lt gt lac sourc arng di amt lt gt lac that prob,ham
295,hi mobil lt gt ad contact list www fullonsm com great place send free sm peopl visit fullonsm com,spam
298,k k busi,ham
299,probabl earlier station think,ham
300,sorri meet call later,ham
301,forward 21870000 hi mailbox messag sm alert 40 match pleas call back 09056242159 retriev messag match cc100p min,ham
302,got anoth job one hospit data analysi someth start monday sure thesi got finish,ham
303,free entri gr8prize wkli comp 4 chanc win latest nokia 8800 psp å 250 cash everi wk txt great 80878 http www gr8prize com 08715705022,ham
304,call carlo phone vibrat act might hear text,spam
305,smoke peopl use wyli smoke much justifi ruin shit,ham
306,want new video phone750 anytim network min 150 text five pound per week call 08000776320 repli deliveri tomorrow,ham
307,sound great home,ham
309,number u live 11,ham
310,oh fuck juswok bed boatin dock slept wid 25 year old spinout giv u da gossip l8r xxx,ham
311,knock knock txt whose 80082 enter r weekli draw 4 å 250 gift voucher 4 store yr choic cs www tkl com age16 stoptxtstopå 1 50 week,spam
312,tessi pl favor pl convey birthday wish nimya pl dnt forget today birthday shija,ham
313,dice art class 6 thru 9 thank though idea time come tomorrow,ham
314,u got person stori,ham
316,sorri da thought call lot time lil busi call noon,ham
317,pay attent,ham
318,good morn love go sleep wish great day full feel better opportun last thought babe love kiss,spam
320,huh slow tot u reach long ago liao u 2 day 4 leh,ham
321,dun cut short leh u dun like ah fail quit sad,ham
323,never blame day ur life good day give u happi bad day give u experi essenti life god bless good morn,ham
325,love daddi make scream pleasur go slap ass dick,ham
326,ye reg ciao,ham
327,2nd time tri contact u u å 1450 prize claim call 09053750005 b4 310303 cs stop sm 08718725756 140ppm,ham
328,told number gautham,ham
329,someonon know tri contact via date servic find could call mobil landlin 09064015307 box334sk38ch,ham
330,got c lazi type forgot ì_ lect saw pouch like v nice,ham
331,sad stori man last week b day wife nt wish parent forgot n kid went work even colleagu wish,ham
332,nice day today love dearli,spam
335,oh k got job what,ham
337,sorri call later ok bye,ham
338,hi harish rent transfr ur acnt,ham
340,hide anythi keep distanc,ham
341,met stranger choos friend long world stand friendship never end let friend forev gud nitz,ham
342,welcom uk mobil date msg free give free call 08719839835 futur mg bill 150p daili cancel send go stop 89123,ham
343,hank lotsli,ham
344,award sipix digit camera call 09061221061 landlin deliveri within 28day cs box177 m221bp 2yr warranti 150ppm 16 p på 3 99,ham
345,hi wlcome back wonder got eaten lion someth noth much,ham
347,lol know awesom phone could click delet right want,ham
348,current food alon also,spam
349,got job wipro get everi thing life 2 3 year,ham
352,yay better told 5 girl either,ham
353,esplanad lor els,ham
355,hmmm give one day,ham
356,text finish long time ago shower er ything,spam
357,enjoy watch play footbal basketbal anyth outdoor,spam
358,doubl min txt 4 6month free bluetooth orang avail soni nokia motorola phone call mobileupd8 08000839402 call2optout n9dx,ham
359,good even roger,ham
360,ok wahala rememb friend need,ham
361,accident brought em home box,ham
362,aight thank comin,ham
363,hey tmr mayb meet yck,ham
364,lip sync shangela,ham
365,pl need dat slowli vomit,ham
366,watch lotr w si di aft u wan 2 meet 4 dinner nite,spam
368,pick,ham
369,ye possibl dint tri pl dont tell one k,ham
370,hey happen u switch ur cell whole day isnt good u care give call tomorrow,ham
372,wif famili book tour packag,ham
374,aight sorri take ten year shower plan,spam
375,ok u tell wat time u come later lor,ham
376,anyth lor,ham
377,back brum thank put us keep us happi see soon,ham
378,6time,ham
379,happi birthday may ur dream come true,ham
380,wyli updat weed dealer carlo went freedom class lunsford,ham
382,ya came ago,ham
383,awesom text restock,ham
384,badrith chennai sure pick us competit,spam
385,yup thk u oso bore wat,ham
386,wat uniform get,ham
388,sorri call later,spam
389,anytim,ham
390,pleas give 2 pick tuesday even 8 ok,ham
391,freemsg hey buffi 25 love satisfi men home alon feel randi repli 2 c pix qlynnbv help08700621170150p msg send stop stop txt,ham
392,even friend priest call,ham
394,sorri join leagu peopl dont keep touch mean great deal friend time even great person cost great week,ham
395,gain right wife dont demand tri husband let see,ham
396,know grumpi old peopl mom like better lie alway one play joke,ham
397,oop lt gt,ham
398,im done studyn librari,ham
399,problem babi good time talk call left messag,ham
400,yo dude guess got arrest day,spam
402,thank bomb date phone want say,ham
403,hi elain today meet confirm,ham
404,k k sister kid,ham
405,nice talk pleas dont forget pix want see,ham
406,damn poor zac stand chanc,ham
407,fine give call know want question,ham
408,love aathi love u lot,ham
409,hello per request lt gt rs 5 transfer,ham
411,thank wonder,ham
412,say give call friend got money definit buy end week,ham
413,signific,ham
415,well meant oppos drunken night,ham
417,pub,spam
419,prakesh know,spam
420,said u mind go bedroom minut ok sed sexi mood came 5 minut latr wid cake n wife,ham
421,bore speed date tri speedchat txt speedchat 80155 like em txt swap get new chatter chat80155 pobox36504w45wq 150p msg rcd 16,spam
423,great offic today,spam
424,site simul test give tough question test readi,ham
427,ah well confus thing doesnt thought friend mayb wrong thing alreadi sort invit tho may come co money,ham
430,escap theatr go watch kavalan minut,ham
431,could work reach consensu next meet,ham
432,cool let know kick around lt gt day,spam
433,wait come lt gt min,ham
434,ok ur typic repli,ham
435,hope thing went well doctor remind still need 2go u c littl thing left loung,ham
436,that cool like photo sexi,ham
440,watch hous ûò entertain ûò get whole hugh lauri thing ûò even stick ûò inde especi stick,ham
441,ill lt gt ok,ham
442,apart one told yesterday,ham
444,prabha soryda reali frm heart sori,ham
445,hi mom might back later lt gt,ham
446,noe la u wana pei bf oso rite k lor day den,ham
448,yeah got 2 v apologet n fallen actin like spoilt child got caught till 2 go badli cheer,ham
449,sir receiv account anoth 1hr time sorri delay,ham
450,k k colleg,ham
451,next month get upto 50 call 4 ur standard network charg 2 activ call 9061100010 c wire3 net 1st4term pobox84 m26 3uz cost å 1 50 min mobcudb,ham
452,dont gimm lip caveboy,ham
454,garag key bookshelf,spam
455,swhrt u dey hope ur ok tot u 2day love n miss take care,ham
456,hope know still mad,ham
458,gonna rip uteru,ham
459,gonna get rimac access,ham
460,somewher beneath pale moon light someon think u dream come true goodnit amp sweet dream,ham
461,got meh,ham
462,k k special today,spam
463,join lt gt bu,ham
464,ìï say like dat dun buy ericsson oso cannot oredi lar,ham
466,k need login anyth,ham
467,today voda number end 5226 select receiv 350 award hava match pleas call 08712300220 quot claim code 1131 standard rate app,ham
469,sorri call later,ham
470,good day pray remov teeth pain maintain stuff,spam
474,dad get back,ham
475,boo thing back home littl bore alreadi,ham
476,rememb day,ham
477,might come kerala 2 day prepar take leav finalis dont plan travel visit need finish urgent work,ham
480,forgot take 3 year shower sorri phone dead yet,ham
481,midnight earliest,ham
482,home alway chat,ham
483,might ax well im,ham
484,get headach tri figur u trust math promis,ham
487,think disturb da,ham
488,hey check da list da,ham
489,ill call u 2mrw ninish address icki american freek wont stop callin 2 bad jen k eh,ham
490,said u mind go bedroom minut ok sed sexi mood came 5 minut latr wid cake n wife,ham
492,natalja 25 f invit friend repli ye 440 440 see www sm ac u nat27081980 stop send stop frnd 62468,ham
493,hex place talk explain,ham
494,lift hope offer money need especi end month approach hurt studi anyway gr8 weekend,ham
495,time u wrkin,ham
496,ok watch tv,ham
498,prize go anoth custom c www c biz 18 150p min polo ltd suit 373 london w1j 6hl pleas call back busi,ham
499,sent type food like,ham
500,even v good somewhat event laden fill worri û_ head ok throat wreck see six,ham
502,win year suppli cd 4 store ur choic worth å 500 enter å 100 weekli draw txt music 87066 ts cs www ldew com subs16 1win150ppmx3,ham
503,peopl mu tabl lambda,ham
504,congrat nokia 3650 video camera phone call 09066382422 call cost 150ppm ave call 3min vari mobil 16 close 300603 post bcm4284 ldn wc1n3xx,spam
506,around still asleep v,ham
507,good afternoon love goe day hope mayb got lead job think boytoy send passion kiss across sea,ham
508,play w comput aiyah tok 2 u lor,ham
509,xma stori peac xma msg love xma miracl jesu hav bless month ahead amp wish u merri xma,ham
510,point hangin mr right makin u happi,ham
511,got xma radio time get,ham
512,show ur colour euro 2004 2 4 1 offer get england flag 3lion tone ur phone click follow servic messag info,ham
513,east coast,ham
514,home lei,spam
515,thread wishlist section forum ppl post nitro request start last page collect bottom,ham
516,wanna gym harri,spam
517,anyway serious hit back otherwis light armand alway shit vomit,spam
518,come mu sort narcot situat,ham
519,next amaz xxx picsfree1 video sent enjoy one vid enough 2day text back keyword picsfree1 get next video,ham
520,sun ah thk mayb dun anythin thk book e lesson e pilat orchard mrt u noe hor,ham
521,ok,ham
522,know u u know send chat 86688 let find 150p msg rcvd hg suite342 2land row w1j6hl ldn 18 year,ham
523,ì 140 ard ìä rest ard 180 least ì price 4 ì 2 bedrm 900,ham
524,time ur flight tmr,spam
525,bishan lei tot ì_ say lavend,ham
526,go dinner msg,spam
528,haha kid papa need drug,spam
529,ye appt,ham
531,hi ur lookin 4 sauci daytim fun wiv busti marri woman free next week chat 2 sort time 09099726429 janinexx callså 1 minmobsmorelkpobox177hp51fl,ham
532,yup thk r e teacher said make face look longer darren ask 2 cut short,ham
535,place man,ham
536,u lousi run alreadi come back half dead hee,ham
537,hope enjoy game yesterday sorri touch pl know fondli bein thot great week abiola,ham
539,great never better day give even reason thank god,ham
540,solihul want anyth,spam
541,hurri weed defici like three day,ham
542,good afternon love today hope good mayb interview wake miss babe passion kiss across sea,ham
543,pick rayan macleran,ham
545,hi kate even hope see tomorrow bit bloodi babyjontet txt back u xxx,ham
546,expect whenev text hope goe well tomo,ham
547,life face choic toss coin becoz settl question coin air u know heart hope gudni8,ham
548,hair cream ship,ham
550,aight plan come later tonight,ham
551,come back thursday yay gonna ok get money cheer oh yeah everyth alright how school call work,ham
552,congrat kano whr treat maga,ham
554,gorgeou keep pix cum thank,ham
556,ranjith cal drpd deeraj deepak 5min hold,ham
557,review keep fantast nokia n gage game deck club nokia go 2 www cnupdat com newslett unsubscrib alert repli word,ham
558,got outta class gonna go gym,ham
559,come friday leav pongal get news work place,ham
560,hi dear call urgnt know what problem want work problem least tell wate repli,ham
562,telli brdget jone,ham
563,ye saw messag,spam
564,1 new voicemail pleas call 08719181513,ham
565,yesterday true true,ham
566,think u x,ham
567,made day great day,ham
568,ok c u,ham
569,b floppi b snappi happi gay chat servic photo upload call 08718730666 10p min 2 stop text call 08712460324,ham
570,thing r good thanx got exam march ive done revis fran still boyf ive gotta interviw 4 exet bit worri x,ham
571,big brother alert comput select u 10k cash 150 voucher call 09064018838 ntt po box cro1327 18 bt landlin cost 150ppm mobil vari,ham
572,tell coulda real valentin u never pick noth,ham
573,gent tri contact last weekend draw show å 1000 prize guarante call 09064012160 claim code k52 valid 12hr 150ppm,ham
574,u sure u take sick time,ham
575,sorri uncl keep touch,spam
578,ju finish lunch way home lor tot u dun wan 2 stay sch today,spam
579,rofl true name,ham
580,buzz hey love think hope day goe well sleep miss babe long moment togeth love smile,ham
581,one day train,ham
583,heard anyth answer text guess flake said jb fantast,ham
585,project w fren lor,ham
587,valu custom pleas advis follow recent review mob award å 1500 bonu prize call 09066364589,ham
588,eeri nokia tone 4u rpli tone titl 8007 eg tone dracula 8007 titl ghost addamsfa munster exorcist twilight www getz co uk pobox36504w45wq 150p,ham
590,probabl tomorrow even later tonight someth go,spam
591,ok thanx,spam
592,ya ok vikki vl c witin lt gt min il repli u,spam
593,ok,ham
594,hi da today class,ham
595,meet lunch la,ham
596,ok set let u noe e detail later,ham
597,ok ok take care understand,spam
600,yeah think,ham
601,haha thinkin,ham
602,hi yiju regard 3230 textbook intro algorithm second edit sell 50,ham
603,sir wait call,ham
604,happi new year u,ham
606,mmmmm sooooo good wake word morn love mmmm fuck love lion devour kiss across sea,spam
607,da vijay go talk jaya tv,ham
608,slave want take 2 3 pictur today bright light cell phone bright light,ham
609,tell friend plan valentin day lt url gt,ham
610,fanci shag interest sextextuk com txt xxuk suzi 69876 txt cost 1 50 per msg tnc websit x,spam
612,eh sorri leh din c ur msg sad alreadi lar watch tv u still offic,ham
613,urgent pleas call 09066612661 landlin å 5000 cash luxuri 4 canari island holiday await collect cs sae award 20m12aq 150ppm 16 ûï,ham
614,gud mrng dear hav nice day,ham
615,dear ok,ham
616,hous maid murder coz man murder lt gt th januari public holiday govt instituit close includ post offic understand,ham
617,dont know support ass srt thnk think ps3 play usb,ham
618,yeah sure leav min,ham
619,hey dont go watch x men lunch haha,ham
620,go good problem still need littl experi understand american custom voic,ham
621,ye complet form clark also utter wast,ham
622,oh realli perform write paper go movi home midnight huh,ham
623,sorri call later,ham
627,5p 4 alfi moon children need song ur mob tell ur m8 txt tone chariti 8007 nokia poli chariti poli zed 08701417012 profit 2 chariti,ham
628,k k perform,spam
629,ye last week take live call,spam
630,final chanc claim ur å 150 worth discount voucher today text ye 85023 savamob member offer mobil cs savamob pobox84 m263uz å 3 00 sub 16,ham
631,themob yo yo yo come new select hot download member get free click open next link sent ur fone,ham
632,guess could good excus lol,ham
633,smile pleasur smile pain smile troubl pour like rain smile sum1 hurt u smile becoz someon still love see u smile,ham
634,realli realli broke oh amount small even lt gt,spam
635,ah well confus thing û,ham
636,aight sound good want come,ham
637,dun need use dial juz open da browser n surf,ham
638,send id password,ham
639,k k sm chat,ham
640,way offic da,ham
641,2 sleep bag 1 blanket paper phone detail anyth els,ham
643,free call,ham
644,final readi fyi,ham
645,oki scare u say fat u dun wan alreadi,ham
646,freemsg fanci flirt repli date join uk fastest grow mobil date servic msg rcvd 25p optout txt stop 83021 repli date,ham
647,especi sinc talk boston person statement lol woulda chang realiz said nyc say boston,spam
648,well im computerless time make oreo truffl,ham
649,discuss mother ah,spam
650,sorri chikku cell got problem tht nt abl repli u msg u,ham
651,congratul thank good friend u å 2 000 xma prize 2 claim easi call 08718726971 10p per minut bt nation rate,ham
652,sunshin hol claim ur med holiday send stamp self address envelop drink us uk po box 113 bray wicklow eir quiz start saturday unsub stop,ham
656,sorri complet forgot pop em round week still,ham
658,ìï predict wat time ì_ finish buy,ham
659,dear 0776xxxxxxx u invit xchat final attempt contact u txt chat 86688 150p msgrcvdhg suite342 2land row w1j6hl ldn 18yr,spam
660,tonight yeah,ham
661,thank rington order ref number k718 mobil charg å 4 50 tone arriv pleas call custom servic 09065069120,ham
662,langport sorri probabl bed 9pm suck ill xma go2sri lanka,ham
663,camera award sipix digit camera call 09061221066 fromm landlin deliveri within 28 day,ham
664,sorri miss call pleas call back,ham
665,u come back 4 dinner rite dad ask confirm wif u,ham
666,work right,ham
667,u want xma 100 free text messag new video phone half price line rental call free 0800 0721072 find,ham
668,sorri miss call let talk time 07090201529,ham
669,easi ah sen got select mean good,ham
671,ha u ju ate honey ar sweet,spam
672,congratul ur award 500 cd voucher 125gift guarante free entri 2 100 wkli draw txt music 87066 tnc www ldew com1win150ppmx3age16,spam
673,free entri 2 wkli comp win fa cup final tkt 21st may 2005 text fa 87121 receiv entri question std txt rate c appli 08452810075over18,ham
674,lol realli need rememb eat drink appreci keep compani night babe smile,ham
675,want new video phone 600 anytim network min 400 inclus video call download 5 per week free deltomorrow call 08002888812 repli,ham
678,ok would b love u r sure think wot u want drinkin dancin eatin cinema u wot,ham
679,ok,ham
680,send text skype later,ham
682,arngd marriag u r walkin unfortuntli snake bite u bt love marriag danc frnt snake amp sayin bite bite,ham
684,ur si,ham
685,prefer free day tue wed fri oso ìï ask workin lor,ham
686,u dun drive go 2 sch,ham
687,know rape dude poker,ham
688,mmmm fuck fair know weak grin push knee expos belli pull head forget know wick smile,ham
689,aight set free think could text blake address occur quit sure thought,spam
690,look addi goe back monday suck,ham
692,dont give monkey wot think certainli mind friend mine sleep wiv wud annoyin,ham
694,someon conact date servic enter phone fanci find call landlin 09111030116 pobox12n146tf15,ham
695,free msg bill mobil number mistak shortcod 83332 pleas call 08081263000 charg refund call free bt landlin,ham
697,honey boo miss u,ham
698,hey mr go sea view coupl gay mean game give bell ya finish,ham
699,ya ì_ take ure practic lesson start june,ham
700,oh kay sat right,ham
701,hey time drive fri go evalu fri,ham
702,u konw waht rael friendship im gving yuo exmpel jsut ese tih msg evrey splle tih msg wrnog bt sitll yuo ra wihtuot ayn mitsak goodnight amp nice sleep sweet dream,ham
703,8007 25p 4 alfi moon children need song ur mob tell ur m8 txt tone chariti 8007 nokia poli chariti poli zed 08701417012 profit 2 chariti,ham
704,juz havent woke bit blur blur dad went liao cant cum oso,ham
706,sir wait letter,ham
707,weather,ham
708,time u get,spam
709,ok din get ur msg,spam
710,watch tv lor funni bluff 4 wat izzit thk imposs us,ham
713,long fuckin showr,ham
